,ServicingLenderName,idservicinglender,BorrowerState,CurrentApprovalAmount_Tatal,CurrentApprovalAmount_Count,Symbol
239,Frost Bank,427,NC,115000.0,5,CFR
240,Frost Bank,427,DC,59200.0,2,CFR
241,Frost Bank,427,KY,56500.0,1,CFR
242,Frost Bank,427,AL,36200.0,2,CFR
243,Frost Bank,427,MA,35600.0,1,CFR
244,Frost Bank,427,MD,22800.0,2,CFR
245,Frost Bank,427,MT,20800.0,1,CFR
246,Frost Bank,427,HI,9300.0,1,CFR
247,Frost Bank,427,ID,8800.0,1,CFR
248,Frost Bank,427,VT,1500.0,1,CFR
249,City National Bank,112,CA,4572211429.71,19609,0
250,City National Bank,112,NY,456504869.04,2497,0
251,City National Bank,112,NV,216681658.2,1040,0
252,City National Bank,112,TN,93743388.96,720,0
253,City National Bank,112,NJ,90153085.82,297,0
254,City National Bank,112,FL,58947961.84,150,0
255,City National Bank,112,GA,49206749.29,221,0
256,City National Bank,112,VA,48783470.0,96,0
257,City National Bank,112,TX,44755830.86,118,0
258,City National Bank,112,DC,37916934.31,93,0
259,City National Bank,112,WA,28006102.5,38,0
260,City National Bank,112,PA,26510895.22,49,0
261,City National Bank,112,IL,23924623.92,62,0
262,City National Bank,112,AZ,22580699.0,57,0
263,City National Bank,112,NC,20258134.62,37,0
264,City National Bank,112,MN,16804525.5,44,0
265,City National Bank,112,MA,14586906.65,33,0
266,City National Bank,112,IN,14363662.0,5,0
267,City National Bank,112,MT,12569833.0,24,0
268,City National Bank,112,MD,12356890.5,78,0
269,City National Bank,112,MI,11524536.0,12,0
270,City National Bank,112,ID,10398092.0,9,0
271,City National Bank,112,OR,10329236.0,35,0
272,City National Bank,112,CO,10246775.72,28,0
273,City National Bank,112,OH,8941792.0,26,0
274,City National Bank,112,HI,7019233.0,13,0
275,City National Bank,112,SC,6674056.0,10,0
276,City National Bank,112,AL,6490900.0,3,0
277,City National Bank,112,UT,5981245.5,20,0
278,City National Bank,112,CT,4708248.0,29,0
279,City National Bank,112,WI,4411142.07,7,0
280,City National Bank,112,NM,3542484.0,8,0
281,City National Bank,112,MO,2893742.0,9,0
282,City National Bank,112,KS,1945816.0,3,0
283,City National Bank,112,RI,1613203.0,3,0
284,City National Bank,112,DE,1549182.0,8,0
285,City National Bank,112,IA,1082263.0,3,0
286,City National Bank,112,MS,1082100.0,2,0
287,City National Bank,112,LA,890976.75,11,0
288,City National Bank,112,GU,593700.0,2,0
289,City National Bank,112,ME,480515.0,2,0
290,City National Bank,112,NE,473440.75,3,0
291,City National Bank,112,OK,422568.0,8,0
292,City National Bank,112,SD,267800.0,1,0
293,City National Bank,112,KY,238194.0,4,0
294,City National Bank,112,NH,207900.0,3,0
295,City National Bank,112,AK,148016.0,1,0
296,City National Bank,112,ND,126688.0,1,0
297,City National Bank,112,VT,70126.0,1,0
298,City National Bank,112,AR,34390.0,2,0
299,City National Bank,112,WY,33300.0,2,0
300,The Huntington National Bank,2,OH,4303217193.3,32790,0
301,The Huntington National Bank,2,MI,3967850347.26,29750,0
302,The Huntington National Bank,2,IL,570839021.99,4973,0
303,The Huntington National Bank,2,IN,469875396.26,3551,0
304,The Huntington National Bank,2,PA,450181155.82,2938,0
305,The Huntington National Bank,2,WV,177733242.71,1395,0
306,The Huntington National Bank,2,MN,174323067.92,2611,0
307,The Huntington National Bank,2,KY,149413722.72,691,0
308,The Huntington National Bank,2,CA,130403316.9,570,0
309,The Huntington National Bank,2,FL,81806895.15,521,0
310,The Huntington National Bank,2,WI,69360480.94,541,0
